Timestamp,TP9,AF7,AF8,TP10[1715293996.895125],-869.62890625,-810.05859375,-54.19921875,-386.23046875
[1715293996.8990312],-1000.0,-1000.0,-38.0859375,-969.23828125
[1715293996.9029374],316.40625,184.08203125,-28.3203125,922.36328125
[1715293996.9068437],-821.2890625,-798.828125,-39.55078125,-606.93359375
[1715293996.91075],-149.4140625,-58.10546875,-58.10546875,-956.54296875
[1715293996.9146562],-1000.0,-1000.0,-50.29296875,560.05859375
[1715293996.9185624],-184.5703125,-196.77734375,-32.2265625,-795.8984375
[1715293996.9224687],-807.6171875,-805.6640625,-27.34375,82.03125
[1715293996.926375],229.98046875,233.88671875,-43.9453125,-1000.0
[1715293996.9302812],-1000.0,-1000.0,-42.96875,-93.75
[1715293996.9341874],-292.48046875,-348.14453125,-20.01953125,-762.6953125
[1715293996.9380937],-816.89453125,-834.9609375,-26.85546875,209.47265625
[1715293996.895125],-869.62890625,-810.05859375,-54.19921875,-386.23046875
[1715293996.8990312],-1000.0,-1000.0,-38.0859375,-969.23828125
[1715293996.9029374],316.40625,184.08203125,-28.3203125,922.36328125
[1715293996.9068437],-821.2890625,-798.828125,-39.55078125,-606.93359375
[1715293996.91075],-149.4140625,-58.10546875,-58.10546875,-956.54296875
[1715293996.9146562],-1000.0,-1000.0,-50.29296875,560.05859375
[1715293996.9185624],-184.5703125,-196.77734375,-32.2265625,-795.8984375
[1715293996.9224687],-807.6171875,-805.6640625,-27.34375,82.03125
[1715293996.926375],229.98046875,233.88671875,-43.9453125,-1000.0
[1715293996.9302812],-1000.0,-1000.0,-42.96875,-93.75
[1715293996.9341874],-292.48046875,-348.14453125,-20.01953125,-762.6953125
[1715293996.9380937],-816.89453125,-834.9609375,-26.85546875,209.47265625
[1715293996.940125],364.74609375,415.52734375,-52.734375,-1000.0
[1715293996.9440312],-1000.0,-1000.0,-47.36328125,-272.94921875
[1715293996.9479375],-705.56640625,-814.453125,-26.85546875,-821.77734375
[1715293996.9518437],897.94921875,745.1171875,-24.4140625,574.70703125
[1715293996.95575],856.4453125,994.140625,-33.69140625,-1000.0
[1715293996.9596562],-709.47265625,-598.6328125,-36.1328125,-534.66796875
[1715293996.9635625],-1000.0,-1000.0,-23.92578125,993.1640625
[1715293996.9674687],294.921875,455.56640625,-23.92578125,-983.3984375
[1715293996.971375],-805.6640625,-823.73046875,-44.43359375,-395.5078125
[1715293996.9752812],-76.66015625,-101.5625,-49.8046875,-1000.0
[1715293996.9791875],-1000.0,-1000.0,-35.15625,324.70703125
[1715293996.9830937],-232.91015625,-231.4453125,-20.5078125,-767.578125
[1715293996.940125],364.74609375,415.52734375,-52.734375,-1000.0
[1715293996.9440312],-1000.0,-1000.0,-47.36328125,-272.94921875
[1715293996.9479375],-705.56640625,-814.453125,-26.85546875,-821.77734375
[1715293996.9518437],897.94921875,745.1171875,-24.4140625,574.70703125
[1715293996.95575],856.4453125,994.140625,-33.69140625,-1000.0
[1715293996.9596562],-709.47265625,-598.6328125,-36.1328125,-534.66796875
